timestamp,elapsed_s,round,lives
2026-07-04T20:08:03,1.7,1,
2026-07-04T20:08:12,10.1,2,200
2026-07-04T20:08:20,18.4,3,200
2026-07-04T20:08:36,34.8,5,
2026-07-04T20:08:43,41.3,6,
2026-07-04T20:09:01,59.5,8,
2026-07-04T20:09:11,69.7,9,
2026-07-04T20:09:18,76.9,10,
2026-07-04T20:09:47,1.7,1,
2026-07-04T20:10:00,15.4,2,
2026-07-04T20:10:08,22.7,3,199
2026-07-04T20:10:25,40.1,5,
2026-07-04T20:10:33,47.8,6,
2026-07-04T20:10:49,63.5,8,199
2026-07-04T20:10:59,73.9,9,
2026-07-04T20:11:06,81.3,10,
2026-07-04T20:11:26,100.8,11,199
2026-07-04T20:11:31,106.3,12,
2026-07-04T20:11:38,112.7,13,199
2026-07-04T20:12:00,135.0,15,
2026-07-04T20:12:08,143.3,16,
2026-07-04T20:12:15,149.7,17,199
2026-07-04T20:12:17,151.5,18,199
2026-07-04T20:12:27,161.9,19,199
2026-07-04T20:12:32,167.4,20,199
2026-07-04T20:12:35,170.1,21,
2026-07-04T20:12:42,176.5,22,199
2026-07-04T20:12:45,180.2,23,
2026-07-04T20:12:53,187.5,25,199
2026-07-04T20:13:00,195.1,26,
2026-07-04T20:13:07,201.6,27,
2026-07-04T20:13:18,212.6,28,
2026-07-04T20:13:31,226.4,29,
2026-07-04T20:13:37,231.9,30,
2026-07-04T20:24:10,1.7,1,
2026-07-04T20:24:19,9.9,2,
2026-07-04T20:24:27,18.4,3,
